"facility_name","addresses","zip_code","lon","lat","geoAddress"
"COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD, TALLASSEE, AL","36078",-85.9123254,32.5338957,"805 friendship rd, tallassee, al 36078, usa"
"CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157, CULLMAN, AL","35058",-86.8050794,34.2012254,"1912 al-157, cullman, al 35058, usa"
"ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL","36420",-86.4947624,31.2962978,"849 s 3 notch st, andalusia, al 36420, usa"
"STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST, ANNISTON, AL","36201",-85.8239435,33.6683385,"301 e 18th st, anniston, al 36207, usa"
"HUNTSVILLE HOSPITAL","101 SIVLEY RD, HUNTSVILLE, AL","35801",-86.5804893,34.7208528,"101 sivley rd sw, huntsville, al 35801, usa"
"GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE, GADSDEN, AL","35903",-85.9805168,34.0074986,"1007 goodyear ave, gadsden, al 35903, usa"
"MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH, HAMILTON, AL","35570",-87.9908915,34.1262252,"1256 military st s, hamilton, al 35570, usa"
"FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH, FAYETTE, AL","35555",-87.8245026,33.7085114,"1653 temple ave n, fayette, al 35555, usa"
"RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET, GADSDEN, AL","35901",-86.003626,34.004403,"600 s 3rd st, gadsden, al 35901, usa"
"MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET, ENTERPRISE, AL","36330",-85.855114,31.318647,"400 n edwards st, enterprise, al 36330, usa"
"GREENE COUNTY HOSPITAL","509 WILSON AVENUE, EUTAW, AL","35462",-87.8902924,32.8430702,"509 wilson ave, eutaw, al 35462, usa"
"LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD, DADEVILLE, AL","36853",-85.7410034,32.8186652,"201 mariarden rd, dadeville, al 36853, usa"
"FLOWERS HOSPITAL","4370 WEST MAIN STREET, DOTHAN, AL","36305",-85.456757,31.2379068,"4370 w main st, dothan, al 36305, usa"
"ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE, BIRMINGHAM, AL","35205",-86.7890114,33.5072381,"810 st vincents dr, birmingham, al 35205, usa"
"BIBB MEDICAL CENTER","208 PIERSON AVE, CENTREVILLE, AL","35042",-87.1480197,32.9511828,"208 pierson ave, centreville, al 35042, usa"
"LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET, MOULTON, AL","35650",-87.2853788,34.4834287,"202 hospital st, moulton, al 35650, usa"
"HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD, SCOTTSBORO, AL","35768",-86.0474634,34.662137,"380 woods cove rd, scottsboro, al 35768, usa"
"WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE, GENEVA, AL","36340",-85.8916728,31.0491568,"1200 w maple ave, geneva, al 36340, usa"
"RUSSELL MEDICAL CENTER","3316 HIGHWAY 280, ALEXANDER CITY, AL","35010",-85.9697263,32.9300534,"3316 us-280, alexander city, al 35010, usa"
"MEDICAL CENTER BARBOUR","820 W WASHINGTON ST, EUFAULA, AL","36027",-85.1563565,31.8887641,"820 w washington st, eufaula, al 36027, usa"
"CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270, ASHLAND, AL","36251",-85.8242805,33.2773548,"83825 al-9, ashland, al 36251, usa"
"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET, ANNISTON, AL","36207",-85.8228805,33.656396,"400 e 10th st, anniston, al 36207, usa"
"ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET, ATHENS, AL","35611",-86.9791768,34.8042607,"700 market st w, athens, al 35611, usa"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET, FOLEY, AL","36535",-87.6843081,30.4257603,"1613 n mckenzie st, foley, al 36535, usa"
"DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","1201 7TH STREET SE, DECATUR, AL","35601",-86.9719505,34.5903214,"1201 7th st se, decatur, al 35601, usa"
"NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43, WINFIELD, AL","35594",-87.8244258,33.9302561,"1530 us-43, winfield, al 35594, usa"
"USA HEALTH UNIVERSITY HOSPITAL","2451 FILLINGIM STREET, MOBILE, AL","36617",-88.0987004,30.7054235,"2451 fillingim st, mobile, al 36617, usa"
"WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST, JASPER, AL","35502",-87.2365408,33.841043,"3400 hwy 78 e, jasper, al 35504, usa"
"PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD, MOBILE, AL","36608",-88.1987853,30.6789138,"providence hospital, 6801 airport blvd, mobile, al 36608, usa"
"GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S, GROVE HILL, AL","36451",-87.7763156,31.6946282,"295 s jackson st, grove hill, al 36451, usa"
"DCH REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST, TUSCALOOSA, AL","35401",-87.526571,33.2051666,"809 university blvd e, tuscaloosa, al 35401, usa"
"HALE COUNTY HOSPITAL","508 GREEN STREET, GREENSBORO, AL","36744",-87.5869077,32.6955444,"508 green st, greensboro, al 36744, usa"
"ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE, WETUMPKA, AL","36092",-86.1866697,32.5523787,"500 hospital dr, wetumpka, al 36092, usa"
"D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE, BREWTON, AL","36426",-87.073743,31.1271191,"1301 belleville ave, brewton, al 36426, usa"
"THOMAS HOSPITAL","750 MORPHY AVENUE, FAIRHOPE, AL","36532",-87.8890868,30.5187163,"750 morphy ave, fairhope, al 36532, usa"
"CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE, TALLADEGA, AL","35161",-86.0906268,33.440257,"604 stone ave, talladega, al 35160, usa"
"J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE, CAMDEN, AL","36726",-87.3001801,31.9974963,"317 mcwilliams avenue, camden, al 36726, usa"
"PRINCETON BAPTIST MEDICAL CENTER","701 PRINCETON AVENUE SOUTHWEST, BIRMINGHAM, AL","35211",-86.8450138,33.4991095,"701 princeton ave sw, birmingham, al 35211, usa"
"GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY, BIRMINGHAM, AL","35243",-86.7169497,33.4331483,"3690 grandview pkwy, birmingham, al 35243, usa"
"PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR, PRATTVILLE, AL","36067",-86.451938,32.463778,"124 s memorial dr, prattville, al 36067, usa"
"BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE, UNION SPRINGS, AL","36089",-85.716578,32.1467866,"102 w conecuh ave, union springs, al 36089, usa"
"WHITFIELD REGIONAL HOSPITAL","105 HIGHWAY 80 EAST, DEMOPOLIS, AL","36732",-87.837458,32.5038111,"105 us-80, demopolis, al 36732, usa"
"MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE, MOBILE, AL","36652",-88.0804373,30.6967327,"5 mobile infirmary cir, mobile, al 36607, usa"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST, BESSEMER, AL","35021",-86.9908747,33.3721312,"995 9th ave sw, bessemer, al 35022, usa"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY, SELMA, AL","36701",-87.056025,32.4292722,"1015 medical center pkwy, selma, al 36701, usa"
"MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, MONROEVILLE, AL","36460",-87.3206816,31.498257,"2016 s alabama ave, monroeville, al 36460, usa"
"LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E, HALEYVILLE, AL","35565",-87.5914018,34.2419558,"42024 al-195, haleyville, al 35565, usa"
"TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH, TROY, AL","36081",-85.9448656,31.7814715,"1330 us-231, troy, al 36081, usa"
"JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE, JACKSON, AL","36545",-87.8946667,31.5317494,"220 hospital dr, jackson, al 36545, usa"
"NORTH BALDWIN INFIRMARY","1815 HAND AVENUE, BAY MINETTE, AL","36507",-87.785172,30.903945,"1815 hand ave, bay minette, al 36507, usa"
"ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY, PELL CITY, AL","35125",-86.3017253,33.6043705,"7063 veterans pkwy, pell city, al 35125, usa"
"CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE, HUNTSVILLE, AL","35801",-86.572025,34.6943291,"1 hospital drive southwest, huntsville, al 35801, usa"
"HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE, YORK, AL","36925",-88.2954892,32.491969,"751 derby dr, york, al 36925, usa"
"BROOKWOOD BAPTIST MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE, BIRMINGHAM, AL","35209",-86.7764088,33.4642365,"2010 brookwood medical center dr, homewood, al 35209, usa"
"SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET, MOBILE, AL","36608",-88.1317111,30.6852336,"3719 dauphin st, mobile, al 36608, usa"
"EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE, EVERGREEN, AL","36401",-86.9404629,31.4307995,"101 crestview st, evergreen, al 36401, usa"
"BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD, MONTGOMERY, AL","36117",-86.1746196,32.3757202,"400 taylor rd, montgomery, al 36117, usa"
"THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL","29 L V STABLER DRIVE, GREENVILLE, AL","36037",-86.64627,31.8290939,"29 l v stabler dr, greenville, al 36037, usa"
"SHOALS HOSPITAL","201 WEST AVALON AVENUE, MUSCLE SHOALS, AL","35661",-87.6753783,34.7451077,"201 w avalon ave, muscle shoals, al 35661, usa"
"RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43, RUSSELLVILLE, AL","35653",-87.7175216,34.5104682,"15155 hwy 43, russellville, al 35654, usa"
"COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST, SYLACAUGA, AL","35150",-86.2556975,33.1649596,"315 w hickory st, sylacauga, al 35150, usa"
"JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE, PHENIX CITY, AL","36867",-85.010098,32.5074824,"4401 riverchase dr, phenix city, al 36867, usa"
"ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE, ATMORE, AL","36502",-87.4788916,31.016975,"401 medical park dr, atmore, al 36502, usa"
"ST VINCENT'S CHILTON","2030 LAY DAM ROAD, CLANTON, AL","35045",-86.622606,32.8802913,"2030 lay dam rd, clanton, al 35045, usa"
"THOMASVILLE REGIONAL MEDICAL CENTER","300 MED PARK DRIVE, THOMASVILLE, AL","36784",-87.745143,31.8761846,"300 med park drive, thomasville, al 36784, usa"
"EAMC - LANIER","4800 48TH STREET, VALLEY, AL","36854",-85.1685934,32.8246478,"4800 48th st, valley, al 36854, usa"
"WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE, CHATOM, AL","36518",-88.235393,31.459137,"14600 st stephens ave, chatom, al 36518, usa"
"RED BAY HOSPITAL","211 HOSPITAL ROAD, RED BAY, AL","35582",-88.147323,34.4581323,"211 hospital rd, red bay, al 35582, usa"
"CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE, PO BOX 618, BUTLER, AL","36904",-88.2095888,32.0937419,"401 vanity fair ave, butler, al 36904, usa"
"ST VINCENTS BLOUNT","150 GILBREATH DRIVE, ONEONTA, AL","35121",-86.4943199,33.9319697,"150 gilbreath dr, oneonta, al 35121, usa"
"TANNER MEDICAL CENTER-EAST ALABAMA","1032 MAIN STREET SOUTH, WEDOWEE, AL","36278",-85.4787716,33.2950843,"1032 main st s, wedowee, al 36278, usa"
"THE CHILDREN'S HOSPITAL OF ALABAMA","1600 SEVENTH AVENUE SOUTH, BIRMINGHAM, AL","35233",-86.8058712,33.5053682,"1600 7th ave s, birmingham, al 35233, usa"
"USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL","1700 CENTER STREET, MOBILE, AL","36604",-88.0761263,30.6960841,"1700 center st, mobile, al 36604, usa"
"HILL CREST BEHAVIORAL HEALTH SERVICES","6869 FIFTH AVENUE SOUTH, BIRMINGHAM, AL","35212",-86.730433,33.5485637,"6869 5th ave s, birmingham, al 35212, usa"
"MOUNTAIN VIEW HOSPITAL","3201 SCENIC HIGHWAY, GADSDEN, AL","35902",-85.9858296,34.1060143,"3201 scenic hwy, gadsden, al 35904, usa"
"BRYCE HOSPITAL","200 UNIVERSITY BLVD, TUSCALOOSA, AL","35401",-87.5376288,33.208157,"200 university blvd, tuscaloosa, al 35401, usa"
"MARY S HARPER GERIATRIC PSYCHIATRY CENTER","201 UNIVERSITY BLVD, TUSCALOOSA, AL","35401",-87.5379711,33.2081216,"201 university blvd, tuscaloosa, al 35401, usa"
"LAUREL OAKS BEHAVIORAL HEALTH CENTER","700 EAST COTTONWOOD RD, DOTHAN, AL","36301",-85.3848023,31.2029841,"700 e cottonwood rd, dothan, al 36301, usa"
"BAYPOINTE BEHAVIORAL HEALTH","5800 SOUTHLAND DRIVE, MOBILE, AL","36693",-88.1779772,30.6249401,"5800 southland dr, mobile, al 36693, usa"
"BEACON CHILDREN'S HOSPITAL","150 HOSPITAL DRIVE, LUVERNE, AL","36049",-86.2631953,31.6946163,"150 hospital dr, luverne, al 36049, usa"
"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW, CULLMAN, AL","35055",-86.8461115,34.1509873,"1910 cherokee ave sw, cullman, al 35055, usa"
"EASTPOINTE HOSPITAL","7400 ROPER LANE, DAPHNE, AL","36526",-87.8952417,30.6354786,"7400 roper ln, daphne, al 36526, usa"
"UNITY PSYCHIATRIC CARE - HUNTSVILLE","5315 MILLENIUM DRIVE, NW, HUNTSVILLE, AL","35806",-86.6652796,34.753357,"5315 millennium dr nw, huntsville, al 35806, usa"
"PROVIDENCE ALASKA MEDICAL CENTER","3200 PROVIDENCE DRIVE, ANCHORAGE, AK","99508",-149.8169137,61.1879049,"3200 providence dr, anchorage, ak 99508, usa"
"MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP, PALMER, AK","99645",-149.2576383,61.5631603,"2500 s woodworth loop, palmer, ak 99645, usa"
"BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR, JUNEAU, AK","99801",-134.4649167,58.3290164,"3260 hospital dr, juneau, ak 99801, usa"
"FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET, FAIRBANKS, AK","99701",-147.7390375,64.8299144,"1650 cowles st, fairbanks, ak 99701, usa"
"ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD, ANCHORAGE, AK","99508",-149.8285244,61.2106154,"2801 debarr road, anchorage, ak 99508, usa"
"YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287, BETHEL, AK","99559",-161.7558334,60.7922222,"bethel, ak, usa"
"CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE, SOLDOTNA, AK","99669",-151.078629,60.4937695,"250 hospital pl, soldotna, ak 99669, usa"
"ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR, ANCHORAGE, AK","99508",-149.7999673,61.1829647,"4315 diplomacy dr, anchorage, ak 99508, usa"
"673rd Medical Group (Joint Base Elmendorf-Richardson)","673 MDG 5955 Zeamer Ave, JBER, AK","99506",-149.7449348,61.2348208,"5955 zeamer ave, elmendorf afb, ak 99506, usa"
"Bassett ACH (FT Wainwright)","4076 Neely Road, Fort Wainwright, AK","99703",-147.6772553,64.8277721,"4076 neely rd, fort wainwright, ak 99703, usa"
"PROVIDENCE VALDEZ MEDICAL CENTER","PO BOX 550, VALDEZ, AK","99686",-146.3546939,61.1305601,"212 chenega ave, valdez, ak 99686, usa"
"PROVIDENCE SEWARD HOSPITAL","417 FIRST AVENUE, PO BOX 365, SEWARD, AK","99664",-149.4422222,60.1041667,"seward, ak 99664, usa"
"PETERSBURG MEDICAL CENTER","PO BOX 589, PETERSBURG, AK","99833",-132.9555556,56.8125,"petersburg, ak 99833, usa"
"SEARHC WRANGELL MEDICAL CENTER-CAH","310 BENNETT STREET PO BOX 1081, WRANGELL, AK","99929",-132.3758588,56.4718022,"310 bennett st, wrangell, ak 99929, usa"
"PROVIDENCE KODIAK ISLAND MEDICAL CTR","1915 EAST REZANOF DRIVE, KODIAK, AK","99615",-152.3756472,57.8008837,"1915 e rezanof dr, kodiak, ak 99615, usa"
"CORDOVA COMMUNITY MEDICAL CENTER","PO BOX 160 - 602 CHASE AVENUE, CORDOVA, AK","99574",-145.750531,60.5413354,"602 chase ave, cordova, ak 99574, usa"
"NORTON SOUND REGIONAL HOSPITAL","1000 GREG KRUSCHEK AVENUE (P O BOX 966), NOME, AK","99762",-165.4063889,64.5011111,"nome, ak, usa"
"BRISTOL BAY AREA HEALTH CORPORATION","P O BOX 130, DILLINGHAM, AK","99576",-158.4575,59.0397222,"dillingham, ak 99576, usa"
"MANIILAQ HEALTH CENTER","PO BOX 43, KOTZEBUE, AK","99752",-162.5925776,66.8967536,"258 third ave, kotzebue, ak 99752, usa"
"PEACEHEALTH KETCHIKAN MEDICAL CENTER","3100 TONGASS AVENUE, KETCHIKAN, AK","99901",-131.6866346,55.3536571,"3100 tongass ave, ketchikan, ak 99901, usa"
"SAMUEL SIMMONDS MEMORIAL HOSPITAL","7000 UULA ST, BARROW, AK","99723",-156.7288973,71.2972897,"7000 uula st, utqiagvik, ak 99723, usa"
"SOUTH PENINSULA HOSPITAL","4300 BARTLETT ST, HOMER, AK","99603",-151.5497928,59.6527038,"4300 bartlett st, homer, ak 99603, usa"
"MT EDGECUMBE HOSPITAL","222 TONGASS DR, SITKA, AK","99835",-135.3551988,57.0519903,"222 tongass dr, sitka, ak 99835, usa"
"NORTH STAR HOSPITAL","2530 DEBARR RD, ANCHORAGE, AK","99508",-149.8335292,61.2078883,"2530 debarr road, anchorage, ak 99508, usa"
"ALASKA PSYCHIATRIC INSTITUTE","3700 PIPER STREET, ANCHORAGE, AK","99508",-149.8293623,61.1852467,"3700 piper st, anchorage, ak 99508, usa"
"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD, PHOENIX, AZ","85006",-112.0590945,33.4643254,"1111 e mcdowell rd, phoenix, az 85006, usa"
"TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD, TUCSON, AZ","85712",-110.8782029,32.2524018,"5301 e grant rd, tucson, az 85712, usa"
"VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE, COTTONWOOD, AZ","86326",-112.0290068,34.7354076,"269 s candy ln, cottonwood, az 86326, usa"
"ST. MARY'S HOSPITAL","1601 WEST ST MARY'S ROAD, TUCSON, AZ","85745",-110.9995887,32.2283146,"1601 w st marys rd, tucson, az 85745, usa"
"ST JOSEPH'S HOSPITAL","350 NORTH WILMOT ROAD, TUCSON, AZ","85711",-110.8545934,32.2272813,"350 n wilmot rd, tucson, az 85711, usa"
"YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD, PRESCOTT, AZ","86301",-112.4811126,34.5593433,"1003 willow creek rd, prescott, az 86301, usa"
"YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A, YUMA, AZ","85364",-114.6348728,32.6823156,"2400 s avenue a, yuma, az 85364, usa"
"JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE, PHOENIX, AZ","85020",-112.0710274,33.5689294,"250 e dunlap ave, phoenix, az 85020, usa"
"BANNER CASA GRANDE MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD, CASA GRANDE, AZ","85122",-111.7097636,32.8814007,"1800 e florence blvd, casa grande, az 85122, usa"
"VALLEYWISE HEALTH MEDICAL CENTER","2601 EAST ROOSEVELT STREET, PHOENIX, AZ","85008",-112.0259994,33.4580552,"2601 e roosevelt st, phoenix, az 85008, usa"
"FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET, FLAGSTAFF, AZ","86001",-111.6441794,35.2088814,"1200 n beaver st, flagstaff, az 86001, usa"
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD, PHOENIX, AZ","85013",-112.0804046,33.4821999,"350 w thomas rd, phoenix, az 85013, usa"
"ABRAZO CENTRAL CAMPUS","2000 WEST BETHANY HOME ROAD, PHOENIX, AZ","85015",-112.1020655,33.525601,"2000 w bethany home rd, phoenix, az 85015, usa"
"CHANDLER REGIONAL MEDICAL CENTER","1955 WEST FRYE ROAD, CHANDLER, AZ","85224",-111.8747911,33.2970143,"1955 w frye rd, chandler, az 85224, usa"
"ST LUKE'S MEDICAL CENTER","1800 EAST VAN BUREN STREET, PHOENIX, AZ","85006",-112.0429496,33.4529961,"1800 e van buren st, phoenix, az 85006, usa"
"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD, SCOTTSDALE, AZ","85251",-111.9229987,33.4886967,"7400 e osborn rd, scottsdale, az 85251, usa"
"CANYON VISTA MEDICAL CENTER","5700 EAST HIGHWAY 90, SIERRA VISTA, AZ","85635",-110.2300732,31.552791,"5700 az-90, sierra vista, az 85635, usa"
"KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD, KINGMAN, AZ","86409",-114.0370933,35.2201547,"3269 stockton hill rd, kingman, az 86409, usa"
"BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD, SUN CITY, AZ","85351",-112.2846562,33.6043698,"10401 w thunderbird blvd, sun city, az 85351, usa"
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 EAST SHOW LOW LAKE ROAD, SHOW LOW, AZ","85901",-110.0179812,34.2028137,"2200 e show low lake rd, show low, az 85901, usa"
"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1625 NORTH CAMPBELL AVENUE, TUCSON, AZ","85724",-110.9474153,32.2417053,"1625 n campbell ave, tucson, az 85719, usa"
"BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD, MESA, AZ","85202",-111.8746363,33.3890879,"1400 s dobson rd, mesa, az 85202, usa"
"MT. GRAHAM REGIONAL MEDICAL CENTER","1600 SOUTH 20TH AVENUE, SAFFORD, AZ","85546",-109.734994,32.822625,"1600 s 20th ave, safford, az 85546, usa"
"HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE, LAKE HAVASU CITY, AZ","86403",-114.3368591,34.4806743,"101 civic center ln, lake havasu city, az 86403, usa"
"FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649, FORT DEFIANCE, AZ","86504",-109.0764828,35.7444602,"fort defiance, az 86504, usa"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600, TUBA CITY, AZ","86045",-111.2398625,36.1349928,"tuba city, az 86045, usa"
"SELLS HOSPITAL","HIGHWAY 86, AT TOPAWA ROAD, SELLS, AZ","85634",-111.8795232,31.9183669,"az-86, sells, az, usa"
"SAN CARLOS APACHE HEALTHCARE CORP","103 MEDICINE WAY ROAD, PERIDOT, AZ","85542",-110.4178011,33.2956419,"103 medicine way, peridot, az 85542, usa"
"PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET, PHOENIX, AZ","85016",-112.0488115,33.4974067,"4212 n 16th st, phoenix, az 85016, usa"
"ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD, PHOENIX, AZ","85032",-111.9975215,33.6392902,"3929 e bell rd, phoenix, az 85032, usa"
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","US HWY 191, HOSPITAL ROAD, CHINLE, AZ","86503",-109.6076963,36.1575812,"u.s. 191 & hospital drive, chinle, az 86503, usa"
"NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD, TUCSON, AZ","85741",-111.0103668,32.32021,"6200 n la cholla blvd, tucson, az 85741, usa"
"HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","9003 EAST SHEA BOULEVARD, SCOTTSDALE, AZ","85260",-111.8847121,33.5801319,"9003 e shea blvd, scottsdale, az 85260, usa"
"BANNER BAYWOOD MEDICAL CENTER","6644 EAST BAYWOOD AVENUE, MESA, AZ","85206",-111.688031,33.4109369,"6644 e baywood ave, mesa, az 85206, usa"
