SiteNumber	Type	LocationID	EffectiveDate	Region	DistrictOffice	State	StateName	County	CountyState	City	FacilityName	Ownership	Use	Owner	OwnerAddress	OwnerCSZ	OwnerPhone	Manager	ManagerAddress	ManagerCSZ	ManagerPhone	ARPLatitude	ARPLatitudeS	ARPLongitude	ARPLongitudeS	ARPMethod	ARPElevation	ARPElevationMethod	MagneticVariation	MagneticVariationYear	TrafficPatternAltitude	ChartName	DistanceFromCBD	DirectionFromCBD	LandAreaCoveredByAirport	BoundaryARTCCID	BoundaryARTCCComputerID	BoundaryARTCCName	ResponsibleARTCCID	ResponsibleARTCCComputerID	ResponsibleARTCCName	TieInFSS	TieInFSSID	TieInFSSName	AirportToFSSPhoneNumber	TieInFSSTollFreeNumber	AlternateFSSID	AlternateFSSName	AlternateFSSTollFreeNumber	NOTAMFacilityID	NOTAMService	ActivationDate	AirportStatusCode	CertificationTypeDate	FederalAgreements	AirspaceDetermination	CustomsAirportOfEntry	CustomsLandingRights	MilitaryJointUse	MilitaryLandingRights	InspectionMethod	InspectionGroup	LastInspectionDate	LastOwnerInformationDate	FuelTypes	AirframeRepair	PowerPlantRepair	BottledOxygenType	BulkOxygenType	LightingSchedule	BeaconSchedule	ATCT	UNICOMFrequencies	CTAFFrequency	SegmentedCircle	BeaconColor	NonCommercialLandingFee	MedicalUse	SingleEngineGA	MultiEngineGA	JetEngineGA	HelicoptersGA	GlidersOperational	MilitaryOperational	Ultralights	OperationsCommercial	OperationsCommuter	OperationsAirTaxi	OperationsGALocal	OperationsGAItin	OperationsMilitary	OperationsDate	AirportPositionSource	AirportPositionSourceDate	AirportElevationSource	AirportElevationSourceDate	ContractFuelAvailable	TransientStorage	OtherServices	WindIndicator	IcaoIdentifier	MinimumOperationalNetwork
50027.51*A	AIRPORT	'Z25	8/12/21	AAL	NONE	AK	ALASKA	BRISTOL BAY	AK	ALEKNAGIK	TRIPOD	PU	PU	PUBLIC DOMAIN								59-15-47.3250N	213347.3250N	158-33-27.9190W	570807.9190W	E	225	E	20E	1985		KODIAK	2	SE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	DLG	DILLINGHAM	907-842-5275	LC842-5275	ENA	KENAI	1-866-864-1737	DLG	Y	1/1/66	O			NO OBJECTION	N	N	N	N	S	C	5222021			NONE	NONE	NONE	NONE			N		122.9	N		N											0		0		12/31/20								N		N
50029.1*A	AIRPORT	'6A8	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	ALLAKAKET	ALLAKAKET	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER RD	"FAIRBANKS, AK 99709"	  (907) 451-5280	SCOTT RANDBY	2301 PEGER ROAD	"FAIRBANKS, AK 99709"	  (907) 451-5280	66-33-06.6000N	239586.6000N	152-37-19.8000W	549439.8000W	E	441	S	22E	2005		FAIRBANKS	1	SSE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	Y	10/1/99	O		NGY	CONDITIONAL					F	C	6282021	8061999						SEE RMK	SS-SR	N		122.9	Y	CG			0	0	0	0	0	0	0			1200			20	12/31/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE		Y-L	PFAL	N
50029.61*A	AIRPORT	'AFM	8/12/21	AAL	NONE	AK	ALASKA	NORTHWEST ARCTIC	AK	AMBLER	AMBLER	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER ROAD	"FAIRBANKS, AK 99709"	    907-451-2200	ALVIN WERNEKE	BOX 55	"KOTZEBUE, AK 99752"	    907-442-3147	67-06-22.3220N	241582.3220N	157-51-25.7610W	568285.7610W	E	292	S	13E	2020		FAIRBANKS	1	N	272	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	OTZ	KOTZEBUE	907-442-3310	1-800-478-7460	FAI	FAIRBANKS	1-866-248-6516	AFM	Y		O		NGY	NO OBJECTION	N	N		Y	C	C	6262021			NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.7	Y	CG	N		1	0	0	0	0	0	0			5000				12/31/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	CHTR	Y-L	PAFM	N
50031.*A	AIRPORT	'80A	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	AMERICAN CREEK	AMERICAN CREEK	PU	PU	"DNR-DIV. OF MINING, LAND, WATER"	3700 AIRPORT WAY	"FAIRBANKS, AK 99709"	    907-451-2740					65-06-14.3350N	234374.3350N	151-10-38.0400W	544238.0400W	E	513	E	26E	1985		FAIRBANKS	0	N		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	FAI	FAIRBANKS	907-474-0788	1-866-248-6516				FAI	Y	8/1/58	O			NOT ANALYZED	N	N	N	N	2	S	7312020	1202011		NONE	NONE	NONE	NONE			N		122.9	N		N		1									50	50	150		12/31/16	FAA-EST	00:00.0	FAA OE/AAA	00:00.0				N		N
50032.*A	AIRPORT	'AKP	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	ANAKTUVUK PASS	ANAKTUVUK PASS	PU	PU	NORTH SLOPE BOROUGH	BOX 69	"BARROW, AK 99723"	    907-852-2611	IAN STROUD	BOX 69	"BARROW, AK 99723"	  (907) 852-0489	68-08-01.0000N	245281.0000N	151-44-36.0000W	546276.0000W	E	2106	S	16E	2020		POINT BARROW	0	SE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	FAI	FAIRBANKS	907-474-0788	1-866-248-6516				AKP	Y	8/1/63	O		NGY	NO OBJECTION	N	N	N	Y	C	S	6042020	11171992		NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N	122.8	122.8	Y	CG	N		0	0	0	0	0	0	0			3200		400		12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE		N	PAKP	N
50033.1*H	HELIPORT	'2OK	8/12/21	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	ANCHORAGE	ALASKA RGNL HOSPITAL	PU	PU	MUNICIPALITY OF ANCHORAGE	800 MERRILL FIELD DR.	"ANCHORAGE, AK 99501-4129"	    907-343-6303	"PAUL BOWERS, A.A.E."	800 MERRILL FIELD DR.	"ANCHORAGE, AK 99501-4129"	    907-343-6305	61-12-45.7300N	220365.7300N	149-49-35.7000W	539375.7000W	E	137	E	24E	1990		ANCHORAGE	2	E	426	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	3/1/93	O		GY	NO OBJECTION					F	C	8262019	2031993	100LLA					SEE RMK	SS-SR	N	122.95	126	N	CG		Y										100				12/31/18	FAA	00:00.0						Y-L		N
50033.5*A	AIRPORT	'A13	8/12/21	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	ANCHORAGE	BOLD	PU	PU	STATE OF AK DNR	18620 SEWARD HWY	"ANCHORAGE, AK 99516"	    907-688-0910	"KEITH WILSON, PARK RANGER"	"DNR, DIV OF PARKS & OUTDOOR REC, 18620 SEWARD HWY"	"ANCHORAGE, AK 99516"	    907-688-0910	61-20-28.8200N	220828.8200N	148-59-55.9700W	536395.9700W	E	900	E	25E	1985		ANCHORAGE	30	ENE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ENA	Y	8/1/90	O			NOT ANALYZED					S	S	8132020	5161990								N		122.9	N															200		12/31/19	REGION	00:00.0				TIE		Y		N
50035.2*C	SEAPLANE BASE	'A11	8/12/21	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	ANCHORAGE	CAMPBELL LAKE SPB	PU	PU	"STATE OF AK - DNR MINING, LAND, WTR"	"550 WEST 7TH AVE, STE 900C"	"ANCHORAGE, AK 99510"	    907-269-8503	CLIFFORD LARSON	"550 W 7TH AVE, STE 900C"	"ANCHORAGE, AK 99501"	    907-269-8503	61-07-59.0200N	220079.0200N	149-56-30.8400W	539790.8400W	E	20	E				ANCHORAGE	3	SW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				A11	Y	6/1/04	O			NO OBJECTION						C	9102019	6132002								N		122.9					70										700	50		12/31/18	OWNER	00:00.0	OWNER	00:00.0				Y		N
50037.*A	AIRPORT	'LHD	8/12/21	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	ANCHORAGE	LAKE HOOD	PU	PU	STATE OF AK - DOT & PF	PO BOX 196960	"ANCHORAGE, AK 99519-6960"	    907-266-2741	TIM COONS	"STATE OF AK - DOT & PF, PO BOX 196960"	"ANCHORAGE, AK 99519-6960"	    907-266-2741	61-11-11.9011N	220271.9011N	149-57-55.4171W	539875.4171W	E	79	S	25E	1985	600	ANCHORAGE	3	SW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				LHD	Y	6/1/47	O		NGY	NO OBJECTION	N	N	N	Y	S	S	9182019		100  100LLA	MAJOR	MAJOR	NONE	NONE	SS-SR		Y		126.8	N		N		999	33						118		18417	10916	44728	10	12/31/17	FAA	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,AVNCS,BCHGR,CARGO,CHTR,INSTR"	Y	PALH	N
50035.*A	AIRPORT	'MRI	8/12/21	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	ANCHORAGE	MERRILL FLD	PU	PU	MUNICIPALITY OF ANCHORAGE	800 MERRIL FIELD DR.	"ANCHORAGE, AK 99501-4129"	    907-343-6303	D. RALPH GIBBS	800 MERRIL FIELD DR.	"ANCHORAGE, AK 99501-4129"	    907-343-6303	61-12-48.7622N	220368.7622N	149-50-41.0069W	539441.0069W	E	137	S	19E	2010		ANCHORAGE	1	E	436	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				MRI	Y	5/1/47	O		NGSY	NO OBJECTION					S	C	8262019		100  A	MAJOR	MAJOR	LOW	LOW	SEE RMK	SS-SR	Y	122.95	126	N	CG	N		786	41		16	1					500	58872	66862		12/31/18	FAA-EST	00:00.0	NACO	00:00.0		"HGR,TIE"	"AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV"	Y-L	PAMR	N
50034.*A	AIRPORT	'ANC	8/12/21	AAL	NONE	AK	ALASKA	ANCHORAGE	AK	ANCHORAGE	TED STEVENS ANCHORAGE INTL	PU	PU	STATE OF ALASKA DOTPF	BOX 196960	"ANCHORAGE, AK 99519-6960"	    907-266-2600	JIM SZCZESNIAK	BOX 196960	"ANCHORAGE, AK 99519-6960"	    907-266-2600	61-10-26.7050N	220226.7050N	149-59-53.2950W	539993.2950W	E	151	S	16E	2020		ANCHORAGE	4	SW	4608	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ANC	Y	11/1/51	O	I E S 04/2005	NGSY	NO OBJECTION	N	Y	N	Y	F	F	5202021		100  100LLA    A1	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW		SS-SR	Y	122.95		N	CG	Y		11	67	16	15	0	0	0	98395		76301	8998	76206	2061	4/30/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	CARGO	Y-L	PANC	N
50037.6*C	SEAPLANE BASE	'AGN	8/12/21	AAL	NONE	AK	ALASKA	ANGOON	AK	ANGOON	ANGOON	PU	PU	ALASKA DOT&PF SOUTHCOAST REGION	6860 GLACIER HWY	"JUNEAU, AK 99801-7999"	  (907) 465-4512	SCOTT GRAY	P.O. BOX 112506	"JUNEAU, AK 99811"	  (907) 465-4512	57-30-12.7990N	207012.7990N	134-35-06.3380W	484506.3380W	E	0	E	23E	2005		JUNEAU	1	SE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	SIT	SITKA	907-966-2221	1-800-478-6300	JNU	JUNEAU	1-866-297-2236	AGN	Y	12/1/50	O		NGY	NO OBJECTION	N	N	N	Y	S	C	5182018			NONE	NONE	NONE	NONE			N		122.9	N		N		0	0	0	0	0	0	0			1700		0		12/31/17								Y	PAGN	N
50038.*A	AIRPORT	'ANI	8/12/21	AAL	NONE	AK	ALASKA	BETHEL	AK	ANIAK	ANIAK	PU	PU	ALASKA DOT&PF CENTRAL REGION	PO BOX 196900	"ANCHORAGE, AK 99519-6900"	    907-269-0749	RICHARD CILETTI	"PO BOX 73, ANIAK AIRPORT"	"ANIAK, AK 99577"	    907-675-4345	61-34-53.0580N	221693.0580N	159-32-43.0770W	574363.0770W	E	97	S	12E	2020		MC GRATH	0	S	1722	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ANI	Y	8/1/47	O		NRGPY	NO OBJECTION					S	C	6202017		100LLA	MINOR	MINOR			SEE RMK	SS-SR	N		122.1	Y	CG	N		17	1								1750	300	500	50	12/31/16	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	CARGO	Y-L	PANI	N
50039.01*C	SEAPLANE BASE	'Z43	8/12/21	AAL	NONE	AK	ALASKA	KETCHIKAN GATEWAY	AK	ANNETTE	TAMGAS HARBOR	PU	PU	COUNCIL OF ANNETTE IS	P.O. BOX 8	"METLAKATLA, AK 99926"	    907-886-4441	CHIEF OF POLICE	", P.O. BOX 8"	"METLAKATLA, AK 99926"	  (907) 886-4011	55-04-04.7720N	198244.7720N	131-33-25.0370W	473605.0370W	E	0	E	26E	1985		KETCHIKAN	2	NE		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	KTN	KETCHIKAN	907-225-9481	LC225-9481	JNU	JUNEAU	1-866-297-2236	KTN	Y		O		1	NO OBJECTION	N	N	N	N	S	C	8052018			NONE	NONE	NONE	NONE			N		122.9	N		N											0	0	0		12/31/17								N		N
50039.1*A	AIRPORT	'ANV	8/12/21	AAL	NONE	AK	ALASKA	YUKON-KOYUKUK	AK	ANVIK	ANVIK	PU	PU	ALASKA DOT&PF NORTHERN REGION	2301 PEGER ROAD	"FAIRBANKS, AK 99709"	    907-451-2200	ERIK WEINGARTH	BOX 135	"ST MARY'S, AK 99658"	    907-438-2416	62-38-50.4000N	225530.4000N	160-11-24.2000W	576684.2000W	E	297	S	15E	2010		MC GRATH	1	SE	245	ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		ENA	KENAI	907-283-7211	1-866-864-1737				ANV	Y	6/1/63	O		N	NO OBJECTION				Y	C	S	7272020							SEE RMK	SS-SR	N	122.7	122.7	Y	CG	N		0	0	0	0	0	0	0			1000				12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0			CARGO	Y-L	PANV	N
50039.11*C	SEAPLANE BASE	'K40	8/12/21	AAL	NONE	AK	ALASKA	KUSKOKWIM	AK	ANVIK	ANVIK	PU	PU	PUBLIC DOMAIN								62-39-22.4060N	225562.4060N	160-12-19.6150W	576739.6150W	E	52	E	20E	1985		MC GRATH	0	NW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE	N	ENA	KENAI	907-283-7211	1-866-864-1737				ANV	Y	7/1/67	O			NOT ANALYZED	N	N	N	N	S	S	7272020			NONE	NONE	NONE	NONE			N		122.7	N		N		1										50			12/31/19								N		N
50039.8*A	AIRPORT	'ARC	8/12/21	AAL	NONE	AK	ALASKA	UPPER YUKON	AK	ARCTIC VILLAGE	ARCTIC VILLAGE	PU	PU	VENETIE TRIBAL GOVN	BOX 81080	"VENETIE, AK 97781"	    907-849-8165	JONATHAN JOHNS	P.O. BOX 69	"ARCTIC VILLAGE, AK 99722"	    907-587-5523	68-06-52.8100N	245212.8100N	145-34-45.8950W	524085.8950W	E	2092	S	26E	2005		POINT BARROW	1	SW		ZAN	ZAN	ANCHORAGE	ZAN	ZAN	ANCHORAGE		FAI	FAIRBANKS	907-474-0788	1-866-248-6516				ARC	N		O		NGY	NO OBJECTION					C	S	6062020							SEE RMK	SEE RMK	N		122.9	Y	CG	Y		0	0	0	0	0	0	0			1500		150		12/31/19	NACO	00:00.0	NACO	00:00.0				Y-L	PARC	N
50040.5*A	AIRPORT	'AKA	8/12/21	AAL	NONE	AK	ALASKA	ALEUTIANS WEST	AK	ATKA	ATKA	PU	PU	ALASKA DOT&PF SOUTHCOAST REGION	PO BOX 112506	"JUNEAU, AK 99811-2506"	  (907) 465-1779	DALE RUCKMAN	PO BOX 920525	"UNALASKA, AK 99692-0525"	    907-581-1786	52-13-14.1000N	187994.1000N	174-12-22.3000W	627142.3000W	E	55	S	08E	2005		W ALEUTIAN ISLS	2	N	340	ZAN	ZAN	ANCHORAGE	ZAP	ZAP	ANCHORAGE OCEANIC		CDB	COLD BAY	907-532-2466	1-800-478-7250	ENA	KENAI	1-866-864-1737	AKA	Y	2/1/83	O		NGY					Y	S	C	8262019	2011983						SS-SR	SS-SR	N		122.9	Y	CG	N		0	0	0	0	0	0	0	312		0				12/31/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0				Y-L	PAAK	N
